Date,Flock_ID,Feed_Type,Feed_Blend_Formula,Daily_Amount_kg,Avg_House_Temp_C,Season_Applied,Notes
2025-06-01,"No 11 (Layer Flock)",Summer Blend,No 11,152.0,26.1,Summer,"Standard summer feeding rate."
2025-06-02,"W-80 (Breed Specific)",Summer Blend,W-80,98.5,27.5,Summer,"Slight dip in intake reported."
2025-06-03,"Old Flock",Summer Blend,Old Flock,125.0,28.0,Summer,"High temp, checking water consumption."
2025-06-04,"No 13 (Young Flock)",Summer Blend,No 13,85.2,25.5,Summer,"Growth targets maintained."
2025-06-05,"No 11 (Layer Flock)",Summer Blend,No 11,151.8,27.0,Summer,"Routine check."
2025-06-06,"W-80 (Breed Specific)",Summer Blend,W-80,97.1,28.2,Summer,"Focus on ventilation."
2025-06-07,"Old Flock",Summer Blend,Old Flock,124.5,26.5,Summer,"No issues."
2025-06-08,"No 13 (Young Flock)",Summer Blend,No 13,85.5,27.8,Summer,"Monitoring stress levels."
2025-06-09,"No 11 (Layer Flock)",Summer Blend,No 11,153.0,29.1,Summer,"Temp exceeded 29C, cooling activated."
2025-06-10,"W-80 (Breed Specific)",Summer Blend,W-80,96.0,26.9,Summer,"Feed intake stable."
2025-06-11,"Old Flock",Summer Blend,Old Flock,126.0,27.2,Summer,"Standard day."
2025-06-12,"No 13 (Young Flock)",Summer Blend,No 13,84.9,28.5,Summer,"Reduced activity noted."
2025-06-13,"No 11 (Layer Flock)",Summer Blend,No 11,152.5,26.8,Summer,"Routine feed."
2025-06-14,"W-80 (Breed Specific)",Summer Blend,W-80,97.5,27.9,Summer,"Ventilation working well."
2025-06-15,"Old Flock",Summer Blend,Old Flock,125.5,25.9,Summer,"Humidity high."
2025-06-16,"No 13 (Young Flock)",Summer Blend,No 13,85.0,28.8,Summer,"Heat stress mitigation in place."
2025-06-17,"No 11 (Layer Flock)",Summer Blend,No 11,150.1,29.5,Summer,"Critical temp, double-check cooling."
2025-06-18,"W-80 (Breed Specific)",Summer Blend,W-80,96.5,26.0,Summer,"Intake stable after cooling."
2025-06-19,"Old Flock",Summer Blend,Old Flock,124.0,27.3,Summer,"Routine data log."
2025-06-20,"No 13 (Young Flock)",Summer Blend,No 13,86.0,28.7,Summer,"All systems green."
2025-06-21,"No 11 (Layer Flock)",Summer Blend,No 11,151.0,26.5,Summer,"Standard feed."
2025-06-22,"W-80 (Breed Specific)",Summer Blend,W-80,97.0,27.7,Summer,"No significant variation."
2025-06-23,"Old Flock",Summer Blend,Old Flock,125.2,28.3,Summer,"Checking for any mortality."
2025-06-24,"No 13 (Young Flock)",Summer Blend,No 13,84.8,29.0,Summer,"High temp, cooling effective."
2025-06-25,"No 11 (Layer Flock)",Summer Blend,No 11,153.5,26.7,Summer,"Routine."
2025-06-26,"W-80 (Breed Specific)",Summer Blend,W-80,98.0,27.6,Summer,"Feed intake steady."
2025-06-27,"Old Flock",Summer Blend,Old Flock,124.8,25.8,Summer,"Good performance."
2025-06-28,"No 13 (Young Flock)",Summer Blend,No 13,85.7,28.1,Summer,"Standard summer feed."
2025-06-29,"No 11 (Layer Flock)",Summer Blend,No 11,152.8,29.3,Summer,"Critical alert, feed adjusted for low intake."
2025-06-30,"W-80 (Breed Specific)",Summer Blend,W-80,95.5,26.4,Summer,"Intake normalized."
2025-07-01,"Old Flock",Summer Blend,Old Flock,125.7,27.4,Summer,"Routine check."
2025-07-02,"No 13 (Young Flock)",Summer Blend,No 13,86.2,28.9,Summer,"All fine."
2025-07-03,"No 11 (Layer Flock)",Summer Blend,No 11,151.5,26.6,Summer,"Standard feed."
2025-07-04,"W-80 (Breed Specific)",Summer Blend,W-80,97.8,27.8,Summer,"Ventilation optimized."
2025-07-05,"Old Flock",Summer Blend,Old Flock,124.2,28.4,Summer,"High humidity noted."
2025-07-06,"No 13 (Young Flock)",Summer Blend,No 13,85.1,29.2,Summer,"Monitoring water usage."
2025-07-07,"No 11 (Layer Flock)",Summer Blend,No 11,153.2,26.3,Summer,"Routine feed."
2025-07-08,"W-80 (Breed Specific)",Summer Blend,W-80,97.3,27.1,Summer,"Intake stable."
2025-07-09,"Old Flock",Summer Blend,Old Flock,124.9,25.7,Summer,"Standard protocol."
2025-07-10,"No 13 (Young Flock)",Summer Blend,No 13,85.8,28.6,Summer,"No issues."
2025-07-11,"No 11 (Layer Flock)",Summer Blend,No 11,150.8,29.4,Summer,"Critical temp alert resolved."
2025-07-12,"W-80 (Breed Specific)",Summer Blend,W-80,96.8,26.2,Summer,"Routine check."
2025-07-13,"Old Flock",Summer Blend,Old Flock,124.4,27.5,Summer,"Data logged."
2025-07-14,"No 13 (Young Flock)",Summer Blend,No 13,86.5,28.3,Summer,"All systems green."
2025-07-15,"No 11 (Layer Flock)",Summer Blend,No 11,151.2,26.9,Summer,"Standard feed."
2025-07-16,"W-80 (Breed Specific)",Summer Blend,W-80,97.7,28.0,Summer,"Intake steady."
2025-07-17,"Old Flock",Summer Blend,Old Flock,125.1,29.0,Summer,"High temp."
2025-07-18,"No 13 (Young Flock)",Summer Blend,No 13,84.5,26.5,Summer,"Routine."
2025-07-19,"No 11 (Layer Flock)",Summer Blend,No 11,153.8,27.6,Summer,"Ventilation check."
2025-07-20,"W-80 (Breed Specific)",Summer Blend,W-80,98.2,28.5,Summer,"Standard feed."
2025-07-21,"Old Flock",Summer Blend,Old Flock,125.6,26.0,Summer,"No issues."
2025-07-22,"No 13 (Young Flock)",Summer Blend,No 13,85.3,27.3,Summer,"Growth targets."
2025-07-23,"No 11 (Layer Flock)",Summer Blend,No 11,151.7,28.7,Summer,"High temp, cooling effective."
2025-07-24,"W-80 (Breed Specific)",Summer Blend,W-80,96.3,29.1,Summer,"Critical temp, feed adjusted."
2025-07-25,"Old Flock",Summer Blend,Old Flock,124.7,26.6,Summer,"Intake stable."
2025-07-26,"No 13 (Young Flock)",Summer Blend,No 13,85.6,27.7,Summer,"Routine data log."
2025-07-27,"No 11 (Layer Flock)",Summer Blend,No 11,152.2,28.2,Summer,"Standard feed."
2025-07-28,"W-80 (Breed Specific)",Summer Blend,W-80,97.9,25.6,Summer,"Good performance."
2025-07-29,"Old Flock",Summer Blend,Old Flock,125.3,28.6,Summer,"High humidity."
2025-07-30,"No 13 (Young Flock)",Summer Blend,No 13,84.7,29.5,Summer,"Critical alert, monitoring water."
2025-07-31,"No 11 (Layer Flock)",Summer Blend,No 11,153.7,26.4,Summer,"Temp normalized."
2025-11-01,"W-80 (Breed Specific)",Winter Blend,W-80,105.0,17.8,Winter,"Switched to higher energy winter blend."
2025-11-02,"Old Flock",Winter Blend,Old Flock,135.5,16.5,Winter,"Intake increased slightly."
2025-11-03,"No 13 (Young Flock)",Winter Blend,No 13,92.0,18.0,Winter,"Standard cold weather feed."
2025-11-04,"No 11 (Layer Flock)",Winter Blend,No 11,165.0,15.9,Winter,"Coldest day this week. Heaters on."
2025-11-05,"W-80 (Breed Specific)",Winter Blend,W-80,104.5,17.2,Winter,"Routine winter feeding."
2025-11-06,"Old Flock",Winter Blend,Old Flock,136.0,18.5,Winter,"Good intake."
2025-11-07,"No 13 (Young Flock)",Winter Blend,No 13,92.5,16.8,Winter,"Monitoring growth."
2025-11-08,"No 11 (Layer Flock)",Winter Blend,No 11,164.8,17.5,Winter,"Standard cold weather protocol."
2025-11-09,"W-80 (Breed Specific)",Winter Blend,W-80,105.5,16.3,Winter,"No issues."
2025-11-10,"Old Flock",Winter Blend,Old Flock,135.0,18.9,Winter,"Routine log."
2025-11-11,"No 13 (Young Flock)",Winter Blend,No 13,91.8,17.0,Winter,"All fine."
2025-11-12,"No 11 (Layer Flock)",Winter Blend,No 11,165.5,16.0,Winter,"Temp dip, heaters active."
2025-11-13,"W-80 (Breed Specific)",Winter Blend,W-80,104.0,18.2,Winter,"Intake stable."
2025-11-14,"Old Flock",Winter Blend,Old Flock,136.5,16.7,Winter,"Good performance."
2025-11-15,"No 13 (Young Flock)",Winter Blend,No 13,92.2,19.0,Winter,"Standard feed."
2025-11-16,"No 11 (Layer Flock)",Winter Blend,No 11,163.5,17.7,Winter,"Routine."
2025-11-17,"W-80 (Breed Specific)",Winter Blend,W-80,106.0,16.1,Winter,"Cold alert resolved."
2025-11-18,"Old Flock",Winter Blend,Old Flock,134.5,18.3,Winter,"No issues."
2025-11-19,"No 13 (Young Flock)",Winter Blend,No 13,92.8,17.4,Winter,"Growth targets."
2025-11-20,"No 11 (Layer Flock)",Winter Blend,No 11,164.0,16.9,Winter,"Standard protocol."
2025-11-21,"W-80 (Breed Specific)",Winter Blend,W-80,105.8,18.7,Winter,"Intake strong."
2025-11-22,"Old Flock",Winter Blend,Old Flock,135.8,15.8,Winter,"Lowest temp, checking insulation."
2025-11-23,"No 13 (Young Flock)",Winter Blend,No 13,91.5,17.9,Winter,"Routine feed."
2025-11-24,"No 11 (Layer Flock)",Winter Blend,No 11,165.2,16.4,Winter,"Temp stable."
2025-11-25,"W-80 (Breed Specific)",Winter Blend,W-80,104.8,18.1,Winter,"Standard."
2025-11-26,"Old Flock",Winter Blend,Old Flock,135.2,17.6,Winter,"Routine log."
2025-11-27,"No 13 (Young Flock)",Winter Blend,No 13,92.1,16.2,Winter,"Heater check."
2025-11-28,"No 11 (Layer Flock)",Winter Blend,No 11,163.0,18.8,Winter,"Good performance."
2025-11-29,"W-80 (Breed Specific)",Winter Blend,W-80,105.2,17.1,Winter,"Intake stable."
2025-11-30,"Old Flock",Winter Blend,Old Flock,134.8,15.5,Winter,"Cold alert, heaters at max."
2025-12-01,"No 13 (Young Flock)",Winter Blend,No 13,92.3,18.4,Winter,"Standard feed."
2025-12-02,"No 11 (Layer Flock)",Winter Blend,No 11,164.5,16.6,Winter,"Temp normalized."
2025-12-03,"W-80 (Breed Specific)",Winter Blend,W-80,105.7,19.1,Winter,"Routine."
2025-12-04,"Old Flock",Winter Blend,Old Flock,136.2,17.3,Winter,"No issues."
2025-12-05,"No 13 (Young Flock)",Winter Blend,No 13,91.9,15.7,Winter,"Cold temp."
2025-12-06,"No 11 (Layer Flock)",Winter Blend,No 11,163.8,18.6,Winter,"Standard feed."
2025-12-07,"W-80 (Breed Specific)",Winter Blend,W-80,104.2,16.5,Winter,"Routine check."
2025-12-08,"Old Flock",Winter Blend,Old Flock,135.7,17.0,Winter,"Good performance."
2025-12-09,"No 13 (Young Flock)",Winter Blend,No 13,92.7,19.2,Winter,"Standard log."
2025-12-10,"No 11 (Layer Flock)",Winter Blend,No 11,165.7,16.3,Winter,"Heater check."
